Original,Final
46,"23, 2, 1"
35,"7, 5, 1"
22,"11, 2, 1"
12,"3, 2, 2"
96,"6, 4, 4"
83,"83, 1, 1"
61,"61, 1, 1"
81,"9, 3, 3"
33,"11, 3, 1"
58,"29, 2, 1"
62,"31, 2, 1"
60,"5, 4, 3"
48,"6, 4, 2"
52,"13, 2, 2"
90,"6, 5, 3"
91,"13, 7, 1"
27,"3, 3, 3"
86,"43, 2, 1"
44,"11, 2, 2"
66,"11, 3, 2"
79,"79, 1, 1"
49,"7, 7, 1"
69,"23, 3, 1"
16,"4, 2, 2"
30,"5, 3, 2"
71,"71, 1, 1"
21,"7, 3, 1"
60,"5, 4, 3"
31,"31, 1, 1"
35,"7, 5, 1"
30,"5, 3, 2"
65,"13, 5, 1"
40,"5, 4, 2"
35,"7, 5, 1"
33,"11, 3, 1"
11,"11, 1, 1"
49,"7, 7, 1"
81,"9, 3, 3"
66,"11, 3, 2"
86,"43, 2, 1"
60,"5, 4, 3"
70,"7, 5, 2"
36,"4, 3, 3"
29,"29, 1, 1"
64,"4, 4, 4"
90,"6, 5, 3"
18,"3, 3, 2"
72,"6, 4, 3"
76,"19, 2, 2"
29,"29, 1, 1"
40,"5, 4, 2"
93,"31, 3, 1"
47,"47, 1, 1"
12,"3, 2, 2"
19,"19, 1, 1"
89,"89, 1, 1"
20,"5, 2, 2"
94,"47, 2, 1"
42,"7, 3, 2"
74,"37, 2, 1"
27,"3, 3, 3"
100,"5, 5, 4"
95,"19, 5, 1"
21,"7, 3, 1"
18,"3, 3, 2"
47,"47, 1, 1"
91,"13, 7, 1"
17,"17, 1, 1"
96,"6, 4, 4"
49,"7, 7, 1"
59,"59, 1, 1"
51,"17, 3, 1"
65,"13, 5, 1"
34,"17, 2, 1"
29,"29, 1, 1"
66,"11, 3, 2"
58,"29, 2, 1"
27,"3, 3, 3"
34,"17, 2, 1"
28,"7, 2, 2"
40,"5, 4, 2"
90,"6, 5, 3"
22,"11, 2, 1"
56,"7, 4, 2"
15,"5, 3, 1"
12,"3, 2, 2"
80,"5, 4, 4"
97,"97, 1, 1"
71,"71, 1, 1"
64,"4, 4, 4"
55,"11, 5, 1"
89,"89, 1, 1"
53,"53, 1, 1"
32,"4, 4, 2"
64,"4, 4, 4"
78,"13, 3, 2"
85,"17, 5, 1"
76,"19, 2, 2"
26,"13, 2, 1"
25,"5, 5, 1"
